VALOR,;VIGENCIADESDE;VIGENCIAHASTA
$2,342.18,;20/11/08;20/11/08
$2,329.90,;19/11/08;19/11/08
$2,308.65,;15/11/08;18/11/08
$2,329.82,;14/11/08;14/11/08
$2,335.02,;13/11/08;13/11/08
$2,281.24,;11/11/08;12/11/08
$2,317.34,;8/11/08;10/11/08
$2,342.65,;7/11/08;7/11/08
$2,327.78,;6/11/08;6/11/08
$2,351.56,;5/11/08;5/11/08
$2,392.28,;1/11/08;4/11/08
$2,359.52,;31/10/08;31/10/08
$2,374.10,;30/10/08;30/10/08
$2,382.31,;29/10/08;29/10/08
$2,379.24,;28/10/08;28/10/08
$2,386.48,;25/10/08;27/10/08
$2,361.01,;24/10/08;24/10/08
$2,346.47,;23/10/08;23/10/08
$2,296.32,;22/10/08;22/10/08
$2,243.49,;21/10/08;21/10/08
$2,271.98,;18/10/08;20/10/08
$2,304.68,;17/10/08;17/10/08
$2,316.54,;16/10/08;16/10/08
$2,223.94,;15/10/08;15/10/08
$2,318.63,;11/10/08;14/10/08
$2,254.24,;10/10/08;10/10/08
$2,326.41,;9/10/08;9/10/08
$2,261.96,;8/10/08;8/10/08
$2,250.73,;7/10/08;7/10/08
$2,160.08,;4/10/08;6/10/08
$2,192.69,;3/10/08;3/10/08
$2,166.05,;2/10/08;2/10/08
$2,184.76,;1/10/08;1/10/08
$2,174.62,;30/09/08;30/09/08
$2,105.61,;27/09/08;29/09/08
$2,118.31,;26/09/08;26/09/08
$2,147.41,;25/09/08;25/09/08
$2,077.59,;24/09/08;24/09/08
$2,045.85,;23/09/08;23/09/08
$2,067.45,;20/09/08;22/09/08
$2,187.01,;19/09/08;19/09/08
$2,139.14,;18/09/08;18/09/08
$2,109.37,;17/09/08;17/09/08
$2,071.29,;16/09/08;16/09/08
$2,051.55,;13/09/08;15/09/08
$2,082.46,;12/09/08;12/09/08
$2,081.32,;11/09/08;11/09/08
$2,071.24,;10/09/08;10/09/08
$2,031.12,;9/09/08;9/09/08
$2,041.81,;6/09/08;8/09/08
$2,017.53,;5/09/08;5/09/08
$1,992.59,;4/09/08;4/09/08
$1,975.10,;3/09/08;3/09/08
$1,932.20,;30/08/08;2/09/08
$1,907.97,;29/08/08;29/08/08
$1,887.71,;28/08/08;28/08/08
$1,892.06,;27/08/08;27/08/08
$1,873.94,;26/08/08;26/08/08
$1,872.07,;23/08/08;25/08/08
$1,864.26,;22/08/08;22/08/08
$1,880.69,;21/08/08;21/08/08
$1,891.99,;20/08/08;20/08/08
$1,882.11,;16/08/08;19/08/08
$1,853.45,;15/08/08;15/08/08
$1,854.16,;14/08/08;14/08/08
$1,836.25,;13/08/08;13/08/08
$1,821.76,;12/08/08;12/08/08
$1,816.25,;9/08/08;11/08/08
$1,782.92,;7/08/08;8/08/08
$1,772.16,;6/08/08;6/08/08
$1,771.31,;5/08/08;5/08/08
$1,779.97,;2/08/08;4/08/08
$1,800.54,;1/08/08;1/08/08
$1,792.24,;31/07/08;31/07/08
$1,789.68,;30/07/08;30/07/08
$1,764.48,;29/07/08;29/07/08
$1,785.17,;26/07/08;28/07/08
$1,777.10,;25/07/08;25/07/08
$1,772.25,;24/07/08;24/07/08
$1,797.43,;23/07/08;23/07/08
$1,802.01,;22/07/08;22/07/08
$1,788.24,;19/07/08;21/07/08
$1,757.79,;18/07/08;18/07/08
$1,768.53,;17/07/08;17/07/08
$1,777.17,;16/07/08;16/07/08
$1,753.51,;15/07/08;15/07/08
$1,778.80,;12/07/08;14/07/08
$1,768.09,;11/07/08;11/07/08
$1,728.74,;10/07/08;10/07/08
$1,736.49,;9/07/08;9/07/08
$1,719.48,;8/07/08;8/07/08
$1,748.43,;4/07/08;7/07/08
$1,818.60,;3/07/08;3/07/08
$1,915.44,;2/07/08;2/07/08
$1,923.02,;28/06/08;1/07/08
$1,832.81,;27/06/08;27/06/08
$1,783.44,;26/06/08;26/06/08
$1,748.04,;25/06/08;25/06/08
$1,713.63,;24/06/08;24/06/08
$1,678.82,;21/06/08;23/06/08
$1,670.31,;20/06/08;20/06/08
$1,652.41,;19/06/08;19/06/08
$1,655.42,;18/06/08;18/06/08
$1,684.52,;17/06/08;17/06/08
$1,707.87,;14/06/08;16/06/08
$1,705.35,;13/06/08;13/06/08
$1,700.94,;12/06/08;12/06/08
$1,696.79,;11/06/08;11/06/08
$1,687.13,;10/06/08;10/06/08
$1,702.44,;7/06/08;9/06/08
$1,709.95,;6/06/08;6/06/08
$1,728.76,;5/06/08;5/06/08
$1,730.61,;4/06/08;4/06/08
$1,744.01,;31/05/08;3/06/08
$1,755.95,;30/05/08;30/05/08
$1,767.41,;29/05/08;29/05/08
$1,772.55,;28/05/08;28/05/08
$1,777.98,;24/05/08;27/05/08
$1,779.59,;23/05/08;23/05/08
$1,779.48,;22/05/08;22/05/08
$1,787.59,;21/05/08;21/05/08
$1,779.35,;20/05/08;20/05/08
$1,785.04,;17/05/08;19/05/08
$1,792.94,;16/05/08;16/05/08
$1,787.65,;15/05/08;15/05/08
$1,780.01,;14/05/08;14/05/08
$1,781.29,;13/05/08;13/05/08
$1,781.79,;10/05/08;12/05/08
$1,793.13,;9/05/08;9/05/08
$1,787.62,;8/05/08;8/05/08
$1,769.32,;7/05/08;7/05/08
$1,756.25,;3/05/08;6/05/08
$1,767.27,;1/05/08;2/05/08
$1,780.21,;30/04/08;30/04/08
$1,767.73,;29/04/08;29/04/08
$1,775.22,;26/04/08;28/04/08
$1,765.75,;25/04/08;25/04/08
$1,765.30,;24/04/08;24/04/08
$1,775.08,;23/04/08;23/04/08
$1,780.79,;22/04/08;22/04/08
$1,785.17,;19/04/08;21/04/08
$1,792.87,;18/04/08;18/04/08
$1,798.89,;17/04/08;17/04/08
$1,797.89,;16/04/08;16/04/08
$1,792.69,;15/04/08;15/04/08
$1,792.49,;12/04/08;14/04/08
$1,791.63,;11/04/08;11/04/08
$1,799.07,;10/04/08;10/04/08
$1,812.85,;9/04/08;9/04/08
$1,811.23,;8/04/08;8/04/08
$1,816.28,;5/04/08;7/04/08
$1,824.39,;4/04/08;4/04/08
$1,826.34,;3/04/08;3/04/08
$1,827.94,;2/04/08;2/04/08
$1,834.96,;1/04/08;1/04/08
$1,821.60,;29/03/08;31/03/08
$1,810.68,;28/03/08;28/03/08
$1,821.31,;27/03/08;27/03/08
$1,835.01,;26/03/08;26/03/08
$1,815.65,;20/03/08;25/03/08
$1,823.11,;19/03/08;19/03/08
$1,857.55,;18/03/08;18/03/08
$1,843.95,;15/03/08;17/03/08
$1,856.01,;14/03/08;14/03/08
$1,853.41,;13/03/08;13/03/08
$1,865.98,;12/03/08;12/03/08
$1,864.78,;11/03/08;11/03/08
$1,902.17,;8/03/08;10/03/08
$1,880.12,;7/03/08;7/03/08
$1,856.69,;6/03/08;6/03/08
$1,841.61,;5/03/08;5/03/08
$1,849.46,;4/03/08;4/03/08
$1,845.17,;1/03/08;3/03/08
$1,843.59,;29/02/08;29/02/08
$1,854.87,;28/02/08;28/02/08
$1,879.19,;27/02/08;27/02/08
$1,887.97,;26/02/08;26/02/08
$1,892.00,;23/02/08;25/02/08
$1,895.85,;22/02/08;22/02/08
$1,910.81,;21/02/08;21/02/08
$1,890.74,;20/02/08;20/02/08
$1,905.37,;16/02/08;19/02/08
$1,894.87,;15/02/08;15/02/08
$1,898.40,;14/02/08;14/02/08
$1,901.38,;13/02/08;13/02/08
$1,912.80,;12/02/08;12/02/08
$1,923.08,;9/02/08;11/02/08
$1,935.49,;8/02/08;8/02/08
$1,929.70,;7/02/08;7/02/08
$1,928.30,;6/02/08;6/02/08
$1,917.26,;5/02/08;5/02/08
$1,921.94,;2/02/08;4/02/08
$1,939.77,;1/02/08;1/02/08
$1,939.60,;31/01/08;31/01/08
$1,946.54,;30/01/08;30/01/08
$1,969.65,;29/01/08;29/01/08
$1,961.30,;26/01/08;28/01/08
$1,970.65,;25/01/08;25/01/08
$2,005.08,;24/01/08;24/01/08
$2,007.41,;23/01/08;23/01/08
$1,968.13,;19/01/08;22/01/08
$1,947.60,;18/01/08;18/01/08
$1,960.49,;17/01/08;17/01/08
$1,948.91,;16/01/08;16/01/08
$1,949.43,;15/01/08;15/01/08
$1,985.35,;12/01/08;14/01/08
$2,003.74,;11/01/08;11/01/08
$2,004.70,;10/01/08;10/01/08
$2,000.91,;9/01/08;9/01/08
$2,013.98,;5/01/08;8/01/08
$2,013.27,;4/01/08;4/01/08
$2,012.82,;3/01/08;3/01/08
$2,014.76,;29/12/07;2/01/08
$2,001.72,;28/12/07;28/12/07
$1,987.81,;27/12/07;27/12/07
$1,989.70,;25/12/07;26/12/07
$1,993.08,;22/12/07;24/12/07
$2,000.58,;21/12/07;21/12/07
$2,005.92,;20/12/07;20/12/07
$2,007.98,;19/12/07;19/12/07
$2,006.48,;18/12/07;18/12/07
$2,009.85,;15/12/07;17/12/07
$2,017.36,;14/12/07;14/12/07
$2,003.90,;13/12/07;13/12/07
$2,005.82,;12/12/07;12/12/07
$2,009.83,;11/12/07;11/12/07
$2,016.77,;8/12/07;10/12/07
$2,023.18,;7/12/07;7/12/07
$2,036.60,;6/12/07;6/12/07
$2,057.40,;5/12/07;5/12/07
$2,052.18,;4/12/07;4/12/07
$2,043.11,;1/12/07;3/12/07
$2,060.42,;30/11/07;30/11/07
$2,066.81,;29/11/07;29/11/07
$2,094.74,;28/11/07;28/11/07
$2,089.11,;27/11/07;27/11/07
$2,088.24,;24/11/07;26/11/07
$2,074.60,;22/11/07;23/11/07
$2,056.28,;21/11/07;21/11/07
$2,054.30,;20/11/07;20/11/07
$2,040.35,;17/11/07;19/11/07
$2,044.70,;16/11/07;16/11/07
$2,032.04,;15/11/07;15/11/07
$2,051.88,;14/11/07;14/11/07
$2,045.59,;10/11/07;13/11/07
$2,033.94,;9/11/07;9/11/07
$2,023.99,;8/11/07;8/11/07
$2,012.89,;7/11/07;7/11/07
$2,014.12,;3/11/07;6/11/07
$2,008.11,;2/11/07;2/11/07
$1,987.69,;1/11/07;1/11/07
$1,999.44,;31/10/07;31/10/07
$1,995.94,;30/10/07;30/10/07
$2,005.28,;27/10/07;29/10/07
$2,020.29,;26/10/07;26/10/07
$2,025.70,;25/10/07;25/10/07
$2,006.67,;24/10/07;24/10/07
$2,022.76,;23/10/07;23/10/07
$2,007.24,;20/10/07;22/10/07
$2,018.55,;19/10/07;19/10/07
$1,994.06,;18/10/07;18/10/07
$2,004.58,;17/10/07;17/10/07
$1,978.97,;13/10/07;16/10/07
$1,963.03,;12/10/07;12/10/07
$1,972.81,;11/10/07;11/10/07
$1,968.13,;10/10/07;10/10/07
$1,999.95,;6/10/07;9/10/07
$2,018.45,;5/10/07;5/10/07
$2,017.69,;4/10/07;4/10/07
$2,013.39,;3/10/07;3/10/07
$2,015.75,;2/10/07;2/10/07
$2,023.19,;29/09/07;1/10/07
$2,013.18,;28/09/07;28/09/07
$2,009.46,;27/09/07;27/09/07
$2,045.51,;26/09/07;26/09/07
$2,028.95,;25/09/07;25/09/07
$2,026.33,;22/09/07;24/09/07
$2,042.63,;21/09/07;21/09/07
$2,055.28,;20/09/07;20/09/07
$2,124.36,;19/09/07;19/09/07
$2,130.66,;18/09/07;18/09/07
$2,128.50,;15/09/07;17/09/07
$2,157.75,;14/09/07;14/09/07
$2,182.22,;13/09/07;13/09/07
$2,185.89,;12/09/07;12/09/07
$2,194.65,;11/09/07;11/09/07
$2,191.00,;8/09/07;10/09/07
$2,166.60,;7/09/07;7/09/07
$2,174.56,;6/09/07;6/09/07
$2,161.56,;5/09/07;5/09/07
$2,160.99,;1/09/07;4/09/07
$2,173.17,;31/08/07;31/08/07
$2,160.65,;30/08/07;30/08/07
$2,147.34,;29/08/07;29/08/07
$2,114.15,;28/08/07;28/08/07
$2,128.17,;25/08/07;27/08/07
$2,138.13,;24/08/07;24/08/07
$2,133.04,;23/08/07;23/08/07
$2,154.94,;22/08/07;22/08/07
$2,113.54,;18/08/07;21/08/07
$2,124.40,;17/08/07;17/08/07
$2,048.44,;16/08/07;16/08/07
$2,016.30,;15/08/07;15/08/07
$1,997.38,;14/08/07;14/08/07
$2,006.79,;11/08/07;13/08/07
$1,981.90,;10/08/07;10/08/07
$1,957.58,;9/08/07;9/08/07
$1,976.89,;7/08/07;8/08/07
$1,963.69,;4/08/07;6/08/07
$1,957.68,;3/08/07;3/08/07
$1,971.20,;2/08/07;2/08/07
$1,958.50,;1/08/07;1/08/07
$1,971.80,;31/07/07;31/07/07
$1,984.10,;28/07/07;30/07/07
$1,981.58,;27/07/07;27/07/07
$1,935.68,;26/07/07;26/07/07
$1,916.23,;25/07/07;25/07/07
$1,912.90,;24/07/07;24/07/07
$1,921.04,;20/07/07;23/07/07
$1,928.59,;19/07/07;19/07/07
$1,931.04,;18/07/07;18/07/07
$1,942.43,;17/07/07;17/07/07
$1,956.05,;14/07/07;16/07/07
$1,954.48,;13/07/07;13/07/07
$1,964.82,;12/07/07;12/07/07
$1,960.31,;11/07/07;11/07/07
$1,945.94,;10/07/07;10/07/07
$1,962.55,;7/07/07;9/07/07
$1,969.36,;6/07/07;6/07/07
$1,958.95,;4/07/07;5/07/07
$1,960.61,;30/06/07;3/07/07
$1,958.09,;29/06/07;29/06/07
$1,982.29,;28/06/07;28/06/07
$1,965.31,;27/06/07;27/06/07
$1,960.32,;26/06/07;26/06/07
$1,944.01,;23/06/07;25/06/07
$1,938.17,;22/06/07;22/06/07
$1,905.13,;21/06/07;21/06/07
$1,896.07,;20/06/07;20/06/07
$1,920.25,;16/06/07;19/06/07
$1,945.09,;15/06/07;15/06/07
$1,947.37,;14/06/07;14/06/07
$1,931.36,;13/06/07;13/06/07
$1,924.54,;9/06/07;12/06/07
$1,900.68,;8/06/07;8/06/07
$1,886.92,;7/06/07;7/06/07
$1,877.88,;6/06/07;6/06/07
$1,882.06,;5/06/07;5/06/07
$1,885.80,;2/06/07;4/06/07
$1,900.09,;1/06/07;1/06/07
$1,930.64,;31/05/07;31/05/07
$1,914.96,;30/05/07;30/05/07
$1,934.55,;26/05/07;29/05/07
$1,962.59,;25/05/07;25/05/07
$1,963.56,;24/05/07;24/05/07
$1,957.54,;23/05/07;23/05/07
$1,985.33,;19/05/07;22/05/07
$1,990.43,;18/05/07;18/05/07
$1,988.01,;17/05/07;17/05/07
$1,995.17,;16/05/07;16/05/07
$2,002.04,;15/05/07;15/05/07
$2,029.20,;12/05/07;14/05/07
$2,041.39,;11/05/07;11/05/07
$2,045.51,;10/05/07;10/05/07
$2,074.03,;9/05/07;9/05/07
$2,081.24,;8/05/07;8/05/07
$2,069.01,;5/05/07;7/05/07
$2,077.12,;4/05/07;4/05/07
$2,085.18,;3/05/07;3/05/07
$2,104.16,;1/05/07;2/05/07
$2,110.67,;28/04/07;30/04/07
$2,111.52,;27/04/07;27/04/07
$2,112.61,;26/04/07;26/04/07
$2,119.37,;25/04/07;25/04/07
$2,115.56,;24/04/07;24/04/07
$2,121.42,;21/04/07;23/04/07
$2,143.31,;20/04/07;20/04/07
$2,148.46,;19/04/07;19/04/07
$2,141.35,;18/04/07;18/04/07
$2,136.82,;17/04/07;17/04/07
$2,138.74,;14/04/07;16/04/07
$2,152.65,;13/04/07;13/04/07
$2,154.61,;12/04/07;12/04/07
$2,157.82,;11/04/07;11/04/07
$2,164.55,;10/04/07;10/04/07
$2,166.93,;5/04/07;9/04/07
$2,171.47,;4/04/07;4/04/07
$2,189.18,;3/04/07;3/04/07
$2,190.30,;31/03/07;2/04/07
$2,155.06,;30/03/07;30/03/07
$2,169.67,;29/03/07;29/03/07
$2,172.09,;28/03/07;28/03/07
$2,172.14,;27/03/07;27/03/07
$2,174.72,;24/03/07;26/03/07
$2,168.95,;23/03/07;23/03/07
$2,172.60,;22/03/07;22/03/07
$2,186.21,;21/03/07;21/03/07
$2,204.05,;17/03/07;20/03/07
$2,197.76,;16/03/07;16/03/07
$2,210.12,;15/03/07;15/03/07
$2,206.38,;14/03/07;14/03/07
$2,205.77,;13/03/07;13/03/07
$2,210.98,;10/03/07;12/03/07
$2,214.05,;9/03/07;9/03/07
$2,218.94,;8/03/07;8/03/07
$2,222.45,;7/03/07;7/03/07
$2,245.71,;6/03/07;6/03/07
$2,242.62,;3/03/07;5/03/07
$2,246.88,;2/03/07;2/03/07
$2,231.94,;1/03/07;1/03/07
$2,224.12,;28/02/07;28/02/07
$2,211.46,;27/02/07;27/02/07
$2,216.57,;24/02/07;26/02/07
$2,214.44,;23/02/07;23/02/07
$2,218.78,;22/02/07;22/02/07
$2,220.76,;21/02/07;21/02/07
$2,221.70,;17/02/07;20/02/07
$2,219.15,;16/02/07;16/02/07
$2,221.43,;15/02/07;15/02/07
$2,223.30,;14/02/07;14/02/07
$2,230.40,;13/02/07;13/02/07
$2,229.87,;10/02/07;12/02/07
$2,239.20,;9/02/07;9/02/07
$2,235.30,;8/02/07;8/02/07
$2,232.37,;7/02/07;7/02/07
$2,229.30,;6/02/07;6/02/07
$2,241.53,;3/02/07;5/02/07
$2,246.06,;2/02/07;2/02/07
$2,255.17,;1/02/07;1/02/07
$2,259.72,;31/01/07;31/01/07
$2,261.22,;30/01/07;30/01/07
$2,259.43,;27/01/07;29/01/07
$2,252.88,;26/01/07;26/01/07
$2,254.67,;25/01/07;25/01/07
$2,250.38,;24/01/07;24/01/07
$2,240.32,;23/01/07;23/01/07
$2,229.29,;20/01/07;22/01/07
$2,226.06,;19/01/07;19/01/07
$2,224.22,;18/01/07;18/01/07
$2,221.96,;17/01/07;17/01/07
$2,221.35,;13/01/07;16/01/07
$2,231.48,;12/01/07;12/01/07
$2,250.60,;11/01/07;11/01/07
$2,238.52,;10/01/07;10/01/07
$2,228.38,;6/01/07;9/01/07
$2,218.05,;5/01/07;5/01/07
$2,218.11,;4/01/07;4/01/07
$2,231.42,;3/01/07;3/01/07
$2,238.79,;29/12/06;2/01/07
$2,233.31,;28/12/06;28/12/06
$2,225.44,;27/12/06;27/12/06
$2,228.76,;23/12/06;26/12/06
$2,229.28,;22/12/06;22/12/06
$2,234.36,;21/12/06;21/12/06
$2,249.28,;20/12/06;20/12/06
$2,255.38,;19/12/06;19/12/06
$2,262.15,;16/12/06;18/12/06
$2,270.18,;15/12/06;15/12/06
$2,272.75,;14/12/06;14/12/06
$2,272.27,;13/12/06;13/12/06
$2,272.09,;12/12/06;12/12/06
$2,280.50,;8/12/06;11/12/06
$2,279.82,;7/12/06;7/12/06
$2,278.97,;6/12/06;6/12/06
$2,292.63,;5/12/06;5/12/06
$2,293.42,;2/12/06;4/12/06
$2,295.99,;1/12/06;1/12/06
$2,300.42,;30/11/06;30/11/06
$2,317.35,;29/11/06;29/11/06
$2,320.64,;28/11/06;28/11/06
$2,298.52,;25/11/06;27/11/06
$2,283.33,;23/11/06;24/11/06
$2,282.67,;22/11/06;22/11/06
$2,283.99,;21/11/06;21/11/06
$2,285.65,;18/11/06;20/11/06
$2,276.37,;17/11/06;17/11/06
$2,274.26,;16/11/06;16/11/06
$2,277.21,;15/11/06;15/11/06
$2,277.66,;11/11/06;14/11/06
$2,268.47,;10/11/06;10/11/06
$2,282.52,;9/11/06;9/11/06
$2,288.13,;8/11/06;8/11/06
$2,300.88,;4/11/06;7/11/06
$2,296.65,;3/11/06;3/11/06
$2,302.64,;2/11/06;2/11/06
$2,308.49,;1/11/06;1/11/06
$2,315.38,;31/10/06;31/10/06
$2,314.76,;28/10/06;30/10/06
$2,327.23,;27/10/06;27/10/06
$2,339.92,;26/10/06;26/10/06
$2,341.33,;25/10/06;25/10/06
$2,341.51,;24/10/06;24/10/06
$2,340.89,;21/10/06;23/10/06
$2,345.49,;20/10/06;20/10/06
$2,348.43,;19/10/06;19/10/06
$2,359.41,;18/10/06;18/10/06
$2,356.53,;14/10/06;17/10/06
$2,374.51,;13/10/06;13/10/06
$2,389.07,;12/10/06;12/10/06
$2,387.11,;11/10/06;11/10/06
$2,395.23,;7/10/06;10/10/06
$2,393.47,;6/10/06;6/10/06
$2,403.43,;5/10/06;5/10/06
$2,396.38,;4/10/06;4/10/06
$2,390.41,;3/10/06;3/10/06
$2,394.31,;30/09/06;2/10/06
$2,397.07,;29/09/06;29/09/06
$2,399.36,;28/09/06;28/09/06
$2,411.68,;27/09/06;27/09/06
$2,420.25,;26/09/06;26/09/06
$2,417.23,;23/09/06;25/09/06
$2,408.62,;22/09/06;22/09/06
$2,399.46,;21/09/06;21/09/06
$2,396.41,;20/09/06;20/09/06
$2,395.43,;19/09/06;19/09/06
$2,390.66,;16/09/06;18/09/06
$2,392.81,;15/09/06;15/09/06
$2,399.92,;14/09/06;14/09/06
$2,406.89,;13/09/06;13/09/06
$2,409.93,;12/09/06;12/09/06
$2,388.54,;9/09/06;11/09/06
$2,387.31,;8/09/06;8/09/06
$2,381.46,;7/09/06;7/09/06
$2,377.18,;6/09/06;6/09/06
$2,398.83,;2/09/06;5/09/06
$2,398.56,;1/09/06;1/09/06
$2,396.63,;31/08/06;31/08/06
$2,402.07,;30/08/06;30/08/06
$2,409.54,;29/08/06;29/08/06
$2,425.65,;26/08/06;28/08/06
$2,398.00,;25/08/06;25/08/06
$2,374.59,;24/08/06;24/08/06
$2,362.67,;23/08/06;23/08/06
$2,370.49,;19/08/06;22/08/06
$2,366.36,;18/08/06;18/08/06
$2,356.49,;17/08/06;17/08/06
$2,362.28,;16/08/06;16/08/06
$2,372.95,;15/08/06;15/08/06
$2,371.77,;12/08/06;14/08/06
$2,363.56,;11/08/06;11/08/06
$2,363.82,;10/08/06;10/08/06
$2,388.13,;9/08/06;9/08/06
$2,389.87,;5/08/06;8/08/06
$2,415.51,;4/08/06;4/08/06
$2,429.24,;3/08/06;3/08/06
$2,436.43,;2/08/06;2/08/06
$2,426.52,;1/08/06;1/08/06
$2,426.00,;29/07/06;31/07/06
$2,443.35,;28/07/06;28/07/06
$2,466.95,;27/07/06;27/07/06
$2,458.56,;26/07/06;26/07/06
$2,450.79,;25/07/06;25/07/06
$2,470.32,;22/07/06;24/07/06
$2,521.18,;20/07/06;21/07/06
$2,531.85,;19/07/06;19/07/06
$2,556.72,;18/07/06;18/07/06
$2,549.77,;15/07/06;17/07/06
$2,534.13,;14/07/06;14/07/06
$2,512.40,;13/07/06;13/07/06
$2,488.33,;12/07/06;12/07/06
$2,491.45,;11/07/06;11/07/06
$2,525.50,;8/07/06;10/07/06
$2,562.85,;7/07/06;7/07/06
$2,574.74,;6/07/06;6/07/06
$2,579.08,;1/07/06;5/07/06
$2,633.12,;30/06/06;30/06/06
$2,634.06,;29/06/06;29/06/06
$2,619.75,;28/06/06;28/06/06
$2,607.13,;24/06/06;27/06/06
$2,578.02,;23/06/06;23/06/06
$2,566.76,;22/06/06;22/06/06
$2,568.12,;21/06/06;21/06/06
$2,559.04,;17/06/06;20/06/06
$2,564.30,;16/06/06;16/06/06
$2,570.11,;15/06/06;15/06/06
$2,569.10,;14/06/06;14/06/06
$2,534.83,;13/06/06;13/06/06
$2,510.82,;10/06/06;12/06/06
$2,511.34,;9/06/06;9/06/06
$2,482.15,;8/06/06;8/06/06
$2,470.99,;7/06/06;7/06/06
$2,443.72,;6/06/06;6/06/06
$2,450.80,;3/06/06;5/06/06
$2,484.62,;2/06/06;2/06/06
$2,486.07,;1/06/06;1/06/06
$2,482.41,;31/05/06;31/05/06
$2,475.75,;27/05/06;30/05/06
$2,517.44,;26/05/06;26/05/06
$2,518.34,;25/05/06;25/05/06
$2,490.06,;24/05/06;24/05/06
$2,493.98,;23/05/06;23/05/06
$2,452.50,;20/05/06;22/05/06
$2,450.63,;19/05/06;19/05/06
$2,435.52,;18/05/06;18/05/06
$2,410.96,;17/05/06;17/05/06
$2,424.27,;16/05/06;16/05/06
$2,375.86,;13/05/06;15/05/06
$2,346.06,;12/05/06;12/05/06
$2,329.35,;11/05/06;11/05/06
$2,338.76,;10/05/06;10/05/06
$2,351.06,;9/05/06;9/05/06
$2,370.63,;6/05/06;8/05/06
$2,381.36,;5/05/06;5/05/06
$2,377.59,;4/05/06;4/05/06
$2,380.31,;3/05/06;3/05/06
$2,375.03,;29/04/06;2/05/06
$2,375.66,;28/04/06;28/04/06
$2,373.94,;27/04/06;27/04/06
$2,348.49,;26/04/06;26/04/06
$2,332.99,;25/04/06;25/04/06
$2,337.42,;22/04/06;24/04/06
$2,336.10,;21/04/06;21/04/06
$2,344.73,;20/04/06;20/04/06
$2,349.03,;19/04/06;19/04/06
$2,366.15,;18/04/06;18/04/06
$2,335.16,;13/04/06;17/04/06
$2,336.26,;12/04/06;12/04/06
$2,352.58,;11/04/06;11/04/06
$2,342.35,;8/04/06;10/04/06
$2,313.05,;7/04/06;7/04/06
$2,294.99,;6/04/06;6/04/06
$2,288.67,;5/04/06;5/04/06
$2,296.18,;4/04/06;4/04/06
$2,293.38,;1/04/06;3/04/06
$2,289.98,;31/03/06;31/03/06
$2,286.73,;30/03/06;30/03/06
$2,276.08,;29/03/06;29/03/06
$2,268.35,;28/03/06;28/03/06
$2,266.95,;25/03/06;27/03/06
$2,265.49,;24/03/06;24/03/06
$2,263.31,;23/03/06;23/03/06
$2,259.19,;22/03/06;22/03/06
$2,257.01,;18/03/06;21/03/06
$2,258.01,;17/03/06;17/03/06
$2,259.53,;16/03/06;16/03/06
$2,262.41,;15/03/06;15/03/06
$2,263.46,;14/03/06;14/03/06
$2,265.15,;11/03/06;13/03/06
$2,257.67,;10/03/06;10/03/06
$2,254.55,;9/03/06;9/03/06
$2,258.11,;8/03/06;8/03/06
$2,259.12,;7/03/06;7/03/06
$2,256.17,;4/03/06;6/03/06
$2,251.45,;3/03/06;3/03/06
$2,247.48,;2/03/06;2/03/06
$2,245.71,;1/03/06;1/03/06
$2,247.32,;28/02/06;28/02/06
$2,246.18,;25/02/06;27/02/06
$2,249.90,;24/02/06;24/02/06
$2,251.78,;23/02/06;23/02/06
$2,253.42,;22/02/06;22/02/06
$2,253.89,;18/02/06;21/02/06
$2,254.11,;17/02/06;17/02/06
$2,253.68,;16/02/06;16/02/06
$2,254.98,;15/02/06;15/02/06
$2,254.03,;14/02/06;14/02/06
$2,253.10,;11/02/06;13/02/06
$2,256.95,;10/02/06;10/02/06
$2,259.07,;9/02/06;9/02/06
$2,256.57,;8/02/06;8/02/06
$2,259.64,;7/02/06;7/02/06
$2,265.22,;4/02/06;6/02/06
$2,266.07,;3/02/06;3/02/06
$2,267.39,;2/02/06;2/02/06
$2,267.63,;1/02/06;1/02/06
$2,265.65,;31/01/06;31/01/06
$2,266.66,;28/01/06;30/01/06
$2,270.85,;27/01/06;27/01/06
$2,273.50,;26/01/06;26/01/06
$2,262.87,;25/01/06;25/01/06
$2,262.04,;24/01/06;24/01/06
$2,269.41,;21/01/06;23/01/06
$2,269.70,;20/01/06;20/01/06
$2,271.55,;19/01/06;19/01/06
$2,270.88,;18/01/06;18/01/06
$2,273.31,;14/01/06;17/01/06
$2,274.59,;13/01/06;13/01/06
$2,274.73,;12/01/06;12/01/06
$2,276.58,;11/01/06;11/01/06
$2,278.40,;7/01/06;10/01/06
$2,279.99,;6/01/06;6/01/06
$2,282.13,;5/01/06;5/01/06
$2,282.27,;4/01/06;4/01/06
$2,284.22,;30/12/05;3/01/06
$2,282.35,;29/12/05;29/12/05
$2,283.11,;28/12/05;28/12/05
$2,282.36,;27/12/05;27/12/05
$2,282.36,;24/12/05;26/12/05
$2,283.47,;23/12/05;23/12/05
$2,285.61,;22/12/05;22/12/05
$2,286.46,;21/12/05;21/12/05
$2,286.83,;20/12/05;20/12/05
$2,277.85,;17/12/05;19/12/05
$2,276.70,;16/12/05;16/12/05
$2,275.45,;15/12/05;15/12/05
$2,275.33,;14/12/05;14/12/05
$2,275.47,;13/12/05;13/12/05
$2,275.09,;10/12/05;12/12/05
