VALOR,;VIGENCIADESDE;VIGENCIAHASTA
$4,187.72,;21/03/25;21/03/25
$4,143.14,;20/03/25;20/03/25
$4,126.03,;19/03/25;19/03/25
$4,076.70,;18/03/25;18/03/25
$4,102.67,;15/03/25;17/03/25
$4,114.18,;14/03/25;14/03/25
$4,110.08,;13/03/25;13/03/25
$4,152.76,;12/03/25;12/03/25
$4,161.96,;11/03/25;11/03/25
$4,116.80,;8/03/25;10/03/25
$4,104.56,;7/03/25;7/03/25
$4,125.63,;6/03/25;6/03/25
$4,144.18,;5/03/25;5/03/25
$4,116.61,;4/03/25;4/03/25
$4,134.04,;1/03/25;3/03/25
$4,120.11,;28/02/25;28/02/25
$4,123.10,;27/02/25;27/02/25
$4,126.54,;26/02/25;26/02/25
$4,112.63,;25/02/25;25/02/25
$4,073.56,;22/02/25;24/02/25
$4,077.56,;21/02/25;21/02/25
$4,098.67,;20/02/25;20/02/25
$4,111.38,;19/02/25;19/02/25
$4,100.66,;15/02/25;18/02/25
$4,161.46,;14/02/25;14/02/25
$4,165.07,;13/02/25;13/02/25
$4,153.80,;12/02/25;12/02/25
$4,132.93,;11/02/25;11/02/25
$4,113.70,;8/02/25;10/02/25
$4,150.99,;7/02/25;7/02/25
$4,180.06,;6/02/25;6/02/25
$4,153.54,;5/02/25;5/02/25
$4,198.66,;4/02/25;4/02/25
$4,183.93,;1/02/25;3/02/25
$4,170.01,;31/01/25;31/01/25
$4,195.60,;30/01/25;30/01/25
$4,219.00,;29/01/25;29/01/25
$4,220.86,;28/01/25;28/01/25
$4,188.46,;25/01/25;27/01/25
$4,245.65,;24/01/25;24/01/25
$4,278.01,;23/01/25;23/01/25
$4,307.07,;22/01/25;22/01/25
$4,344.27,;18/01/25;21/01/25
$4,338.15,;17/01/25;17/01/25
$4,294.11,;16/01/25;16/01/25
$4,300.24,;15/01/25;15/01/25
$4,331.23,;14/01/25;14/01/25
$4,343.48,;11/01/25;13/01/25
$4,321.19,;10/01/25;10/01/25
$4,347.42,;9/01/25;9/01/25
$4,342.31,;8/01/25;8/01/25
$4,355.51,;4/01/25;7/01/25
$4,410.50,;3/01/25;3/01/25
$4,409.15,;31/12/24;2/01/25
$4,401.98,;28/12/24;30/12/24
$4,375.86,;27/12/24;27/12/24
$4,380.94,;25/12/24;26/12/24
$4,395.44,;24/12/24;24/12/24
$4,374.62,;21/12/24;23/12/24
$4,394.50,;20/12/24;20/12/24
$4,359.11,;19/12/24;19/12/24
$4,345.32,;18/12/24;18/12/24
$4,324.19,;17/12/24;17/12/24
$4,341.32,;14/12/24;16/12/24
$4,335.20,;13/12/24;13/12/24
$4,361.22,;12/12/24;12/12/24
$4,377.34,;11/12/24;11/12/24
$4,379.71,;10/12/24;10/12/24
$4,396.52,;7/12/24;9/12/24
$4,407.13,;6/12/24;6/12/24
$4,424.56,;5/12/24;5/12/24
$4,443.53,;4/12/24;4/12/24
$4,462.97,;3/12/24;3/12/24
$4,419.59,;30/11/24;2/12/24
$4,406.16,;28/11/24;29/11/24
$4,405.96,;27/11/24;27/11/24
$4,381.99,;26/11/24;26/11/24
$4,418.58,;23/11/24;25/11/24
$4,387.09,;22/11/24;22/11/24
$4,414.06,;21/11/24;21/11/24
$4,401.34,;20/11/24;20/11/24
$4,400.69,;19/11/24;19/11/24
$4,454.68,;16/11/24;18/11/24
$4,475.57,;15/11/24;15/11/24
$4,478.21,;14/11/24;14/11/24
$4,413.79,;13/11/24;13/11/24
$4,346.70,;9/11/24;12/11/24
$4,344.55,;8/11/24;8/11/24
$4,430.40,;7/11/24;7/11/24
$4,421.86,;6/11/24;6/11/24
$4,414.00,;2/11/24;5/11/24
$4,409.57,;1/11/24;1/11/24
$4,413.46,;31/10/24;31/10/24
$4,367.39,;30/10/24;30/10/24
$4,342.90,;29/10/24;29/10/24
$4,316.73,;26/10/24;28/10/24
$4,311.83,;25/10/24;25/10/24
$4,293.91,;24/10/24;24/10/24
$4,262.30,;23/10/24;23/10/24
$4,286.96,;22/10/24;22/10/24
$4,252.15,;19/10/24;21/10/24
$4,263.17,;18/10/24;18/10/24
$4,266.20,;17/10/24;17/10/24
$4,244.84,;16/10/24;16/10/24
$4,192.56,;12/10/24;15/10/24
$4,217.40,;11/10/24;11/10/24
$4,233.17,;10/10/24;10/10/24
$4,233.54,;9/10/24;9/10/24
$4,194.97,;8/10/24;8/10/24
$4,173.66,;5/10/24;7/10/24
$4,197.73,;4/10/24;4/10/24
$4,203.43,;3/10/24;3/10/24
$4,224.21,;2/10/24;2/10/24
$4,178.30,;1/10/24;1/10/24
$4,164.21,;28/09/24;30/09/24
$4,188.11,;27/09/24;27/09/24
$4,192.74,;26/09/24;26/09/24
$4,139.43,;25/09/24;25/09/24
$4,155.31,;24/09/24;24/09/24
$4,156.89,;21/09/24;23/09/24
$4,175.10,;20/09/24;20/09/24
$4,189.46,;19/09/24;19/09/24
$4,239.33,;18/09/24;18/09/24
$4,220.58,;17/09/24;17/09/24
$4,172.13,;14/09/24;16/09/24
$4,236.63,;13/09/24;13/09/24
$4,278.28,;12/09/24;12/09/24
$4,285.61,;11/09/24;11/09/24
$4,220.68,;10/09/24;10/09/24
$4,149.79,;7/09/24;9/09/24
$4,172.50,;6/09/24;6/09/24
$4,185.82,;5/09/24;5/09/24
$4,185.80,;4/09/24;4/09/24
$4,160.31,;31/08/24;3/09/24
$4,132.11,;30/08/24;30/08/24
$4,065.34,;29/08/24;29/08/24
$4,045.64,;28/08/24;28/08/24
$4,023.92,;27/08/24;27/08/24
$4,030.52,;24/08/24;26/08/24
$4,064.03,;23/08/24;23/08/24
$4,013.98,;22/08/24;22/08/24
$4,011.37,;21/08/24;21/08/24
$4,021.63,;17/08/24;20/08/24
$4,014.18,;16/08/24;16/08/24
$4,021.10,;15/08/24;15/08/24
$4,038.87,;14/08/24;14/08/24
$4,063.26,;13/08/24;13/08/24
$4,064.51,;10/08/24;12/08/24
$4,100.79,;9/08/24;9/08/24
$4,136.27,;7/08/24;8/08/24
$4,184.30,;6/08/24;6/08/24
$4,110.37,;3/08/24;5/08/24
$4,057.14,;2/08/24;2/08/24
$4,060.34,;1/08/24;1/08/24
$4,089.05,;31/07/24;31/07/24
$4,059.91,;30/07/24;30/07/24
$4,014.56,;27/07/24;29/07/24
$4,035.00,;26/07/24;26/07/24
